,x_tbl,x_dfy,x_tms,x_svar,x_ill,x_infl,x_dy,x_lev,x_ep,x_ni,x_rf
1983/7/31,0.575,0.6,0.866666667,0.883333333,0.866666667,0.008333333,0.266666667,0.266666667,0.05,0.866666667,0.74
1983/8/31,0.65,0.595833333,0.691666667,0.875,0.866666667,0.008333333,0.233333333,0.233333333,0.041666667,0.858333333,0.76
1983/9/30,0.670833333,0.466666667,0.8375,0.891666667,0.775,0.008333333,0.25,0.258333333,0.066666667,0.941666667,0.76
1983/10/31,0.7,0.416666667,0.7875,0.8,0.775,0.016666667,0.241666667,0.258333333,0.083333333,0.941666667,0.76
1983/11/30,0.641666667,0.425,0.716666667,0.791666667,0.791666667,0.033333333,0.216666667,0.233333333,0.033333333,1,0.7
1983/12/31,0.604166667,0.445833333,0.966666667,0.666666667,0.908333333,0.033333333,0.25,0.333333333,0.1,1,0.73
1984/1/31,0.616666667,0.433333333,0.866666667,0.466666667,0.933333333,0.05,0.208333333,0.25,0.083333333,1,0.76
1984/2/29,0.6375,0.404166667,0.85,0.391666667,0.866666667,0.091666667,0.216666667,0.25,0.091666667,1,0.71
1984/3/31,0.616666667,0.529166667,0.808333333,0.333333333,0.875,0.116666667,0.241666667,0.383333333,0.108333333,0.975,0.73
1984/4/30,0.666666667,0.545833333,0.895833333,0.341666667,0.783333333,0.133333333,0.475,0.633333333,0.183333333,0.958333333,0.81
1984/5/31,0.729166667,0.5,0.866666667,0.333333333,0.841666667,0.141666667,0.425,0.6,0.166666667,0.95,0.78
1984/6/30,0.741666667,0.533333333,0.9375,0.308333333,0.683333333,0.133333333,0.666666667,0.666666667,0.216666667,0.958333333,0.75
1984/7/31,0.741666667,0.516666667,1,0.3,0.841666667,0.125,0.825,0.858333333,0.325,0.958333333,0.82
1984/8/31,0.741666667,0.529166667,0.983333333,0.333333333,0.816666667,0.125,0.758333333,0.8,0.308333333,0.966666667,0.83
1984/9/30,0.741666667,0.670833333,0.725,0.241666667,0.875,0.125,0.833333333,0.875,0.408333333,0.7,0.86
1984/10/31,0.758333333,0.695833333,0.545833333,0.375,0.958333333,0.125,0.541666667,0.566666667,0.291666667,0.691666667,1
1984/11/30,0.75,0.6375,0.466666667,0.366666667,0.958333333,0.116666667,0.566666667,0.6,0.308333333,0.666666667,0.73
